"","ensembl_id","TH-A-Control","TH-A-Mutant","TH-B-Control","TH-B-Mutant","TH-C-Control","TH-C-Mutant","external_gene_id","gene_biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5888","ENSMUSG00000029361",522.906322320323,170.146210288977,474.953884448618,107.660113608479,649.321585197954,127.732517646449,"Nos1","protein_coding",342.120105585133,-2.01165178860437,0.165643326654127,-12.1444783151742,6.13727904188882e-34,1.01596517259428e-29
"11861","ENSMUSG00000053007",319.608163362142,70.6761181200366,315.122366928624,37.3514679866151,392.06441736001,86.8581119995854,"Creb5","protein_coding",203.613440959502,-2.38753701436216,0.212128766708617,-11.2551307934662,2.185017132595e-29,1.80853868064888e-25
"10865","ENSMUSG00000046607",527.79329729528,205.047997014921,525.809367295888,121.94155725042,556.079904278524,215.612489787206,"Hrk","protein_coding",358.714102153707,-1.56264282638503,0.160227635102095,-9.75264239149094,1.79728091888844e-22,7.82171340398955e-19
"13080","ENSMUSG00000063415",238.484378777867,43.62723340743,168.004720120448,31.858605047407,190.976936822928,44.9618462115501,"Cyp26b1","protein_coding",119.652286731272,-2.30328816179307,0.236294385041646,-9.7475365797927,1.8899875326784e-22,7.82171340398955e-19
"5126","ENSMUSG00000027820",164.202359158531,38.3919653985384,154.382715786358,12.0842984662578,246.023230377771,24.5246433881182,"Mme","protein_coding",106.601535429262,-2.88187393042681,0.301918106423851,-9.54521729273521,1.35822569349439e-21,3.74734468835102e-18
"6161","ENSMUSG00000030022",271.71580860757,74.166296792631,224.309004701355,57.1257745677643,444.86392342282,69.4864895996683,"Adamts9","protein_coding",190.277882948635,-2.22030310342367,0.232606455578927,-9.5453202186398,1.35687762623318e-21,3.74734468835102e-18
"5757","ENSMUSG00000029088",232.62000880792,87.25446681486,265.175017703626,74.7029359732303,407.791929804251,88.9018322819286,"Kcnip4","protein_coding",192.741031897636,-1.84626589685569,0.210791929504649,-8.75871244783576,1.97493214267722e-18,4.67043238426839e-15
"8380","ENSMUSG00000036466",1229.562903699,686.692653832948,1067.05700617041,685.509294813172,1118.90017103315,698.95233656137,"Megf11","protein_coding",914.44572768501,-0.721548700811993,0.0879186990537716,-8.20699929113702,2.26784905883402e-16,4.69274666499229e-13
"8459","ENSMUSG00000036800",307.879423422246,130.88170022229,296.95969448317,65.9143552704973,347.128667519321,114.448335811218,"Fam135b","protein_coding",210.535362788124,-1.6017908089673,0.196207116098707,-8.16377530446692,3.24712676878741e-16,5.97254850338964e-13
"518","ENSMUSG00000003746",272.693203602561,112.558262191169,223.400871079082,70.3086456218638,381.953873645855,89.9236924231002,"Man1a","protein_coding",191.806424760605,-1.6755689948307,0.214957819283334,-7.7948734333881,6.44730691002326e-15,1.06728718588525e-11
"4513","ENSMUSG00000026452",378.251863061617,225.989069050487,404.119461911348,138.420146068044,485.306098279439,172.694363857999,"Syt2","protein_coding",300.796833704823,-1.23037051548273,0.166728269395334,-7.37949551053858,1.58890438628305e-13,2.39115665550269e-10
"10042","ENSMUSG00000042129",251.190513712753,97.7250028326432,218.860202967719,86.7872344394881,201.087480537083,94.0111329877866,"Rassf4","protein_coding",158.276927912912,-1.26768076364681,0.182840495511601,-6.93326038140371,4.11250234338248e-12,5.67319698269614e-09
"7900","ENSMUSG00000034683",36.1636148146766,150.077682921559,27.2440086681808,71.4072182097054,20.22108742831,200.284587669632,"Ppp1r1c","protein_coding",84.233033285344,2.33024566406896,0.341118650004242,6.83118810431497,8.42142204910181e-12,1.0723709276987e-08
"9611","ENSMUSG00000040452",375.319678076643,598.56564234994,327.836237640442,547.089148745128,334.771336313132,628.44398682053,"Cdh12","protein_coding",468.671004990969,0.773960710354849,0.113555252534811,6.81571915942492,9.3793367029055e-12,1.10903956985641e-08
"9080","ENSMUSG00000038718",3255.70272831588,2349.76279132418,3150.31553566397,2447.61972571113,3713.93972433293,1949.7091493554,"Pbx3","protein_coding",2811.17494245058,-0.584349998517615,0.0867221573147179,-6.73818567954885,1.60376543607e-11,1.76991553524685e-08
"6284","ENSMUSG00000030306",554.182962160044,397.007824007613,628.428466612703,266.953138845514,707.738059990849,332.104545880768,"Tmtc1","protein_coding",481.069166249582,-0.918909525906899,0.138889696339665,-6.61611012281025,3.68773698649877e-11,3.81542487965629e-08
"1014","ENSMUSG00000009376",841.537090687474,548.830596265469,701.987290016791,400.978994562192,925.67644671819,405.678476045123,"Met","protein_coding",637.448149049206,-0.860464721627466,0.131214572691875,-6.55769175614398,5.46470180794018e-11,5.32133374874364e-08
"12696","ENSMUSG00000059921",1849.23133052346,1258.20941147028,1653.71132615857,1156.79693499723,1938.97760562572,1326.37446324073,"Unc5c","protein_coding",1530.55017866933,-0.53914278429725,0.0829353310369385,-6.5007612263237,7.9914588201796e-11,7.34947829495851e-08
"12020","ENSMUSG00000054263",1391.81047286755,821.937077395981,1494.78794226085,633.876383184616,1213.2652456986,954.417371854268,"Lifr","protein_coding",1085.01574887698,-0.766101734795087,0.119410912995299,-6.41567605152844,1.4019929006306e-10,1.22150476194942e-07
"4710","ENSMUSG00000026872",1926.44553512777,1396.94401370591,2208.58096936719,1322.68139576131,2580.43543460156,1608.40786220409,"Zeb2","protein_coding",1840.58253512797,-0.632995590292378,0.0994202908694281,-6.36686520183,1.92930587894791e-10,1.59688647600518e-07
"9504","ENSMUSG00000040118",2078.91915434641,1624.67817209269,2023.32171042356,1299.61137141664,2163.65635482917,1413.23257524031,"Cacna2d1","protein_coding",1767.23655639146,-0.528588131922648,0.0832822084989041,-6.34695142516067,2.19623437040642e-10,1.73126017941466e-07
"8285","ENSMUSG00000036095",400.731947946416,246.930141086054,395.946259310894,243.88311450084,558.326691770559,214.590629646035,"Dgkb","protein_coding",343.401464043466,-0.938202612676429,0.150126660244001,-6.24940707500965,4.12013784743521e-10,2.98838927183621e-07
"11633","ENSMUSG00000051323",2225.5284035951,2936.98535298819,2139.56281407446,2984.82172116569,2027.72571156108,2687.49217128129,"Pcdh19","protein_coding",2500.35269577763,0.428995324166408,0.0686590037705183,6.24820199256395,4.15204501946556e-10,2.98838927183621e-07
"9380","ENSMUSG00000039706",414.415477876294,272.233936462363,417.741466245438,223.010235331849,587.534929167007,240.137133175324,"Ldb2","protein_coding",359.178863043046,-0.943537977313347,0.151239803418411,-6.23868820235777,4.41255516702217e-10,3.02348658361508e-07
"14135","ENSMUSG00000074305",697.860026423759,1085.44556717686,737.404501285426,939.279562604586,641.457828975833,1149.59265881804,"Peak1","protein_coding",875.173357547417,0.611518692793368,0.0981045844818831,6.23333451767789,4.56609668904053e-10,3.02348658361508e-07
"8629","ENSMUSG00000037362",103.603869469073,30.539063385201,59.9368190699976,18.6757339933076,192.100330568945,20.4372028234319,"Nov","protein_coding",70.8821698849927,-2.33541525691476,0.376906778367312,-6.19626759442038,5.78177967348654e-10,3.68121464288062e-07
"1831","ENSMUSG00000019966",506.290607405472,109.068083518575,548.512707852706,76.9000811489135,1227.86936439682,125.688797364106,"Kitl","protein_coding",432.388273614432,-2.87146573409364,0.468168410792333,-6.13340342470765,8.60186454398695e-10,5.27389872819111e-07
"8693","ENSMUSG00000037578",52.779329729528,7.8529020133374,57.2124182031796,7.69000811489135,52.7995060628094,10.2186014117159,"Pkd2l1","protein_coding",31.4254609225769,-2.66235017144457,0.437767632703376,-6.08165148026951,1.18950910040193e-09,7.03254773144772e-07
"3333","ENSMUSG00000023064",384.116233031565,147.460048917113,344.18264284135,131.828710540995,386.447448629924,240.137133175324,"Sncg","protein_coding",272.362036189379,-1.10162354507257,0.182050770501005,-6.05118858899026,1.43781006713418e-09,8.20741650046181e-07
"8800","ENSMUSG00000037942",48.8697497495629,13.088170022229,76.2832242709061,20.8728791689908,98.8586496495155,8.17488112937275,"Crp","protein_coding",44.3579256650962,-2.41794252203574,0.404391997437264,-5.97920467605409,2.24229676633545e-09,1.2372993556639e-06
"2855","ENSMUSG00000022053",642.148511709257,458.085950778015,786.443716888151,488.864801589522,734.699509895263,451.662182397844,"Ebf2","protein_coding",593.650778876342,-0.6302967424051,0.106956348640165,-5.89302786060526,3.79182444894163e-09,2.02483425573483e-06
"11512","ENSMUSG00000050558",67.4402546543969,144.842414912668,45.4066811136346,128.53299277747,60.6632622849299,174.738084140342,"Prokr2","protein_coding",103.603948313907,1.37353459307973,0.235105019066422,5.84221722927865,5.15105750494961e-09,2.58395775566472e-06
"2751","ENSMUSG00000021835",0.977394994991259,27.0488847126066,1.81626724454538,56.0272019799227,1.12339374601722,36.7869650821774,"Bmp4","protein_coding",20.6300179600434,4.90964012411616,0.850768725553963,5.77082816592645,7.88828824504257e-09,3.84066834142455e-06
"567","ENSMUSG00000004151",153.451014213628,52.352680088916,106.251633805905,43.9429035136649,112.339374601722,36.7869650821774,"Etv1","protein_coding",84.1874285510021,-1.47797054389172,0.261300196961962,-5.65621672342969,1.54746047570543e-08,7.31904591852219e-06
"1492","ENSMUSG00000017724",1.95478998998252,30.539063385201,9.08133622272692,51.6329116285562,4.49357498406888,56.2023077644376,"Etv4","protein_coding",25.6506639958289,3.12886058302448,0.554557736568002,5.64208264839671,1.68005412107954e-08,7.72544886676407e-06
"5381","ENSMUSG00000028370",259.009673672684,144.842414912668,292.419026371807,125.237275013945,351.62224250339,187.000405834402,"Pappa","protein_coding",226.688506384816,-0.979597833964275,0.176016373508375,-5.56537902945525,2.61583199399626e-08,1.17033737374633e-05
"995","ENSMUSG00000008999",96.7621045041346,41.8821440711328,86.2726941159057,25.2671695203573,184.236574346824,39.8525455056921,"Bmp7","protein_coding",79.0455386773411,-1.76559339012486,0.318698654273975,-5.54000892833089,3.02456226041871e-08,1.27415723587246e-05
"9780","ENSMUSG00000041046",26.389664864764,64.5683054429964,29.9684095349988,99.9701054935876,34.8252061265338,173.716223999171,"Ramp3","protein_coding",71.5729859103419,1.89150497000025,0.341618286218135,5.53689613907982,3.07878998640197e-08,1.27415723587246e-05
"12817","ENSMUSG00000060961",108.49084444403,40.1370547348356,95.3540303386326,50.5343390407146,159.521911934445,20.4372028234319,"Slc4a4","protein_coding",79.0792305526816,-1.70767524243951,0.308114506646598,-5.5423396354336,2.98456697419832e-08,1.27415723587246e-05
"8973","ENSMUSG00000038418",1115.20768928503,794.888192683375,1026.19099316814,734.945061266045,1437.94399490204,807.269511525559,"Egr1","protein_coding",986.074240471698,-0.612638637928287,0.111104858642035,-5.51405802965043,3.50652897640722e-08,1.41578245549866e-05
"3469","ENSMUSG00000024008",58.6436996994755,126.518976881547,58.1205518254523,125.237275013945,69.6504122530677,288.164559810389,"Cpne5","protein_coding",121.055912580646,1.53577162075201,0.287589248661881,5.34015658755594,9.28663339387422e-08,3.66026021909985e-05
"3335","ENSMUSG00000023067",109.468239439021,260.018311108283,83.5482932490876,194.447348047967,156.151730696394,344.366867574827,"Cdkn1a","protein_coding",191.333465019263,1.2021195957466,0.226601132258098,5.30500259979898,1.12671390360784e-07,4.33758650240098e-05
"3725","ENSMUSG00000024565",182.772864063365,119.538619536358,284.245823771352,103.265823257112,211.198024251238,108.317174964189,"Sall3","protein_coding",168.223054973936,-1.0341540950469,0.195954396641241,-5.27752432592905,1.3094082674939e-07,4.88094064629636e-05
"11437","ENSMUSG00000050069",204.275553953173,124.77388754525,249.73674612499,137.321573480203,247.146624123789,108.317174964189,"Grem2","protein_coding",178.595260031932,-0.921344134942605,0.174659020746326,-5.27510191575368,1.32682330000807e-07,4.88094064629636e-05
"542","ENSMUSG00000003949",512.15497737542,180.61674630676,465.872548225891,215.320227216958,314.550248884822,281.011538822188,"Hlf","protein_coding",328.254381138673,-0.937685570981278,0.18071645360292,-5.1887116656329,2.11753975167971e-07,7.62038109767519e-05
"3","ENSMUSG00000000031",170.066729128479,65.440850111145,192.524327921811,53.8300568042395,105.599012125619,73.5739301643547,"H19","lincRNA",110.172484375941,-1.28222841274649,0.248876665387993,-5.15206361652076,2.57635602704059e-07,9.07425482375105e-05
"8311","ENSMUSG00000036198",181.795469068374,58.4604927659562,136.220043340904,76.9000811489135,274.108074028202,103.207874258331,"Arhgap36","protein_coding",138.448672435113,-1.31165352603501,0.256757732813015,-5.10852589195522,3.24681918148328e-07,0.000111974676521405
"6408","ENSMUSG00000030616",51.8019347345367,26.176340044458,79.9157587599969,19.7743065811492,101.10543714155,21.4590629646035,"Sytl2","protein_coding",50.0388067043824,-1.77754537645181,0.348458264551455,-5.10117152405586,3.37557465029265e-07,0.00011403931175703
"5078","ENSMUSG00000027684",1061.45096456051,629.977250403289,1117.00435539541,738.24077902957,1195.29094576232,907.411805360375,"Mecom","protein_coding",941.562683418579,-0.569234316155094,0.112550416166836,-5.0575940591042,4.24579027948912e-07,0.000135163100551275
"10796","ENSMUSG00000046182",339.156063261967,148.332593585262,331.468772129532,164.785888176243,230.29571793353,180.869244987372,"Gsg1l","protein_coding",232.484713345651,-0.872137124909727,0.172334349523728,-5.06072716971405,4.17660503478953e-07,0.000135163100551275
"12687","ENSMUSG00000059857",556.137752150026,414.458717370585,599.368190699976,319.684623061912,698.750910022711,438.378000562614,"Ntng1","protein_coding",504.463032311304,-0.65761849229355,0.129989956381045,-5.05899463775374,4.21472717007851e-07,0.000135163100551275
"12943","ENSMUSG00000062151",370.432703101687,501.713184185445,353.263979064077,553.680584272177,262.87413656803,500.711469174081,"Unc13c","protein_coding",423.779342727583,0.652899671862574,0.131984497397328,4.94679060599881,7.54470588522286e-07,0.000235651058913168
"13466","ENSMUSG00000066800",869.88154554222,1302.70918954586,1082.49527774905,1280.93563742333,830.187978306726,1294.69679886441,"Rnasel","protein_coding",1110.1510712386,0.477113505777447,0.0967520654031876,4.93130047187322,8.16839751756178e-07,0.000250406763899477
"10324","ENSMUSG00000043410",333.291693292019,160.548218939342,272.440086681807,162.58874300056,266.244317806081,188.022265975573,"Hfm1","protein_coding",230.522554282564,-0.772092365684491,0.157012080627861,-4.91740739054628,8.76979219455596e-07,0.000263954799979417
"7243","ENSMUSG00000032452",2079.8965493414,1473.72794450299,1937.04901630765,1402.87719467375,2168.14992981324,1750.44642182694,"Clstn2","protein_coding",1802.02450941099,-0.418177626035671,0.0861336623588684,-4.85498485241891,1.20395946221366e-06,0.000355899016740803
"7920","ENSMUSG00000034751",1978.24746986231,1749.45205963794,2038.75998200219,1347.94856528167,2049.07019273541,1239.51635124114,"Mast4","protein_coding",1733.83243679344,-0.482405365007298,0.100895861370018,-4.78122054221986,1.74234086857444e-06,0.000506012469094407
"2653","ENSMUSG00000021647",75.2594146143269,27.9214293807552,56.3042845809069,23.0700243446741,88.7481059353605,22.4809231057751,"Cartpt","protein_coding",48.9640303269664,-1.57412147481474,0.331109270266187,-4.75408457621637,1.99347579854478e-06,0.000559322006256107
"8038","ENSMUSG00000035168",120.219584383925,46.2448674118758,106.251633805905,28.5628872838822,69.6504122530677,34.7432447998342,"Tanc1","protein_coding",67.6121049897483,-1.42853727615907,0.300373443320001,-4.75587075997655,1.97592855047667e-06,0.000559322006256107
"6485","ENSMUSG00000030772",99.6942894891084,54.9703140933618,165.28031925363,54.9286293920811,132.560462030032,66.4209091761536,"Dkk3","protein_coding",95.6424872390611,-1.17534007366186,0.248539580523435,-4.72898550478979,2.25644490983011e-06,0.000622553150622127
"3264","ENSMUSG00000022894",131.94832432382,257.400677103837,145.301379563631,253.770267791415,84.2545309512916,191.087846399088,"Adamts5","protein_coding",177.293837688847,0.951462780308761,0.203142276615968,4.68372608675379,2.81706409234935e-06,0.000764486540733625
"10054","ENSMUSG00000042195",230.665218817937,88.9995561511572,183.442991699084,88.9843796151713,185.359968092841,132.841818352307,"Slc35f2","protein_coding",151.71565545475,-0.949613568365956,0.203159344075083,-4.67423033230016,2.95058044415508e-06,0.000787804978589406
